created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2026-02-19T18:45:28+00:00,1,0,85,0,0.99,0,0,,,,
2026-02-19T18:45:51+00:00,2,0,86,0,0.99,0,0,,,,
2026-02-19T18:46:14+00:00,3,0,86,0,0.98,0,0,,,,
2026-02-19T18:46:36+00:00,4,0,97,0,0.96,0,0,,,,
2026-02-19T18:46:59+00:00,5,0,85,0,0.98,0,0,,,,
2026-02-19T18:47:21+00:00,6,0,91,0,0.96,0,0,,,,
2026-02-19T18:47:44+00:00,7,0,90,0,0.95,0,0,,,,
2026-02-19T18:48:07+00:00,8,0,86,0,0.94,0,0,,,,
2026-02-19T18:48:43+00:00,9,0,84,29.6,0.97,0,0,,,,
2026-02-19T18:49:08+00:00,10,0,81,29.6,0.98,0,0,,,,
2026-02-19T18:49:33+00:00,11,0,85,29.5,0.95,0,0,,,,
2026-02-19T18:49:58+00:00,12,0,87,29.6,0.96,0,0,,,,
2026-02-19T18:50:22+00:00,13,0,81,29.6,0.98,0,0,,,,
2026-02-19T18:50:47+00:00,14,109,86,29.6,0.93,0,0,,,,
2026-02-19T18:51:12+00:00,15,0,82,29.5,0.96,0,0,,,,
2026-02-19T18:51:37+00:00,16,0,85,29.6,0.96,0,0,,,,
2026-02-19T18:52:02+00:00,17,0,94,29.6,0.95,0,0,,,,
2026-02-19T18:52:27+00:00,18,0,89,29.6,0.98,0,0,,,,
2026-02-19T18:52:51+00:00,19,0,83,29.6,0.95,0,0,,,,
2026-02-19T18:53:16+00:00,20,0,93,29.6,0.91,0,0,,,,
2026-02-19T18:53:41+00:00,21,0,85,29.6,0.97,0,0,,,,
2026-02-19T18:54:05+00:00,22,0,79,29.6,0.96,0,0,,,,
2026-02-19T18:54:30+00:00,23,0,87,29.6,0.57,0,0,,,,
2026-02-19T18:54:55+00:00,24,0,79,29.6,0.97,0,0,,,,
2026-02-19T18:55:20+00:00,25,0,86,29.6,0.97,0,0,,,,
2026-02-19T18:55:45+00:00,26,0,84,29.6,0.96,0,0,,,,
2026-02-19T18:56:10+00:00,27,0,94,29.6,1.0,0,0,,,,
2026-02-19T19:01:29+00:00,28,84,98,36.8,0.97,0,0,,,,
2026-02-19T19:01:53+00:00,29,81,96,36.8,1.02,0,0,,,,
2026-02-19T19:02:12+00:00,30,85,98,36.8,1.02,0,0,,,,
2026-02-19T19:02:30+00:00,31,87,96,36.9,1.06,0,0,,,,
2026-02-19T19:02:48+00:00,32,88,96,36.9,0.96,0,0,,,,
2026-02-19T19:03:06+00:00,33,91,98,36.9,0.98,0,1,,,,
2026-02-19T19:03:24+00:00,34,93,96,36.9,0.97,0,0,,,,
2026-02-19T19:03:41+00:00,35,94,98,37.0,0.96,0,0,,,,
2026-02-19T19:03:59+00:00,36,91,98,37.0,1.06,0,1,,,,
2026-02-19T19:04:17+00:00,37,91,96,37.0,1.03,0,0,,,,
2026-02-19T19:04:42+00:00,38,85,96,36.8,0.97,0,1,,,,
2026-02-19T19:05:00+00:00,39,86,98,36.8,0.98,0,1,,,,
2026-02-19T19:05:18+00:00,40,87,96,36.9,0.97,0,1,,,,
2026-02-19T19:05:36+00:00,41,91,97,36.9,0.97,0,1,,,,
2026-02-19T19:06:07+00:00,42,0,70,29.5,0.98,0,0,,,,
2026-02-19T19:06:32+00:00,43,0,100,29.5,0.98,0,0,,,,
2026-02-19T19:07:13+00:00,44,82,97,36.8,1.04,0,0,,,,
2026-02-19T19:07:31+00:00,45,83,98,36.8,1.05,0,0,,,,
2026-02-19T19:07:49+00:00,46,87,98,36.9,1.02,0,0,,,,
2026-02-19T19:08:07+00:00,47,89,96,36.9,1.01,0,0,,,,
2026-02-19T19:08:25+00:00,48,90,96,36.9,0.95,0,1,,,,
2026-02-19T19:08:43+00:00,49,91,96,36.9,0.94,0,0,,,,
2026-02-19T19:09:01+00:00,50,94,96,37.0,1.05,0,0,,,,
2026-02-19T19:09:18+00:00,51,91,97,37.0,0.96,0,0,,,,
2026-02-19T19:09:36+00:00,52,91,97,37.0,0.98,0,0,,,,
2026-02-19T19:09:54+00:00,53,91,96,37.0,0.97,0,1,,,,
2026-02-19T19:10:12+00:00,54,91,98,37.0,1.02,0,1,,,,
2026-02-19T19:10:29+00:00,55,91,96,37.0,3.2,1,0,,,,
2026-02-19T19:10:47+00:00,56,93,98,37.1,1.02,0,0,,,,
2026-02-19T19:11:05+00:00,57,88,96,37.1,0.98,0,1,,,,
2026-02-19T19:11:23+00:00,58,87,96,37.1,0.96,0,1,,,,
2026-02-19T19:11:40+00:00,59,86,96,37.1,0.95,0,0,,,,
2026-02-19T19:11:58+00:00,60,87,97,37.1,0.98,0,0,,,,
2026-02-19T19:12:16+00:00,61,84,97,37.1,1.0,0,0,,,,
2026-02-19T19:12:34+00:00,62,83,98,37.1,0.97,0,0,,,,
2026-02-19T19:12:52+00:00,63,81,97,37.2,1.04,0,1,,,,
2026-02-19T19:13:10+00:00,64,78,97,37.2,0.97,0,0,,,,
